-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  aten::_fused_rms_norm         0.04%       2.958ms         0.61%      43.218ms     234.879us      96.594ms         1.98%     134.342ms     730.119us           0 B           0 B      92.36 GB       2.00 MB           184  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     128.550ms         2.63%     128.550ms     328.771us           0 B           0 B           0 B           0 B           391  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     121.159ms         2.48%     121.159ms     151.071us           0 B           0 B           0 B           0 B           802  
              nvjet_tst_128x256_64x4_2x1_v_bz_coopA_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     112.710ms         2.31%     112.710ms     204.184us           0 B           0 B           0 B           0 B           552  
                                              aten::add         0.13%       9.238ms         1.07%      75.575ms      52.998us      82.141ms         1.68%     110.898ms      77.768us           0 B           0 B      72.24 GB      72.24 GB          1426  
autograd::engine::evaluate_function: FusedRmsNormBac...         0.02%       1.137ms         0.28%      19.853ms     107.899us       0.000us         0.00%     101.298ms     550.535us           0 B           0 B     -92.36 GB    -184.36 GB           184  
                                  FusedRmsNormBackward0         0.01%     822.578us         0.27%      18.717ms     101.722us       0.000us         0.00%     101.298ms     550.535us           0 B           0 B      92.00 GB           0 B           184  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.053s
Self CUDA time total: 4.879s
