-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        72.36%        2.235s        72.36%        2.235s      18.470ms     869.463us         0.03%     869.463us       7.186us           0 B           0 B           0 B           0 B           121  
                                            aten::index         7.91%     244.289ms         7.91%     244.312ms      24.431ms       0.000us         0.00%       0.000us       0.000us      10.02 MB      10.02 MB           0 B           0 B            10  
                                               aten::mm         2.10%      64.716ms         2.41%      74.444ms      68.930us     392.301ms        15.76%     392.301ms     363.242us           0 B           0 B     323.17 GB     323.17 GB          1080  
                                              aten::add         1.23%      38.001ms         1.29%      39.693ms     165.388us      34.399ms         1.38%      34.399ms     143.328us      40.16 MB      40.16 MB      32.50 GB      32.50 GB           240  
                         chaoscontrol_ssm_scan::forward         1.22%      37.648ms         1.23%      38.134ms     953.355us      26.010ms         1.05%      26.010ms     650.248us           0 B           0 B      30.00 GB           0 B            40  
                    Optimizer.zero_grad#AdamW.zero_grad         1.12%      34.671ms         1.12%      34.671ms       3.467ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B    -205.06 MB    -205.06 MB            10  
                                      _SSMScanForwardFn         1.00%      30.840ms         2.23%      68.974ms       1.724ms       0.000us         0.00%      26.010ms     650.248us           0 B           0 B      30.00 GB           0 B            40  
                                        aten::new_empty         0.90%      27.872ms         0.91%      28.021ms     560.417us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      20.00 MB           0 B            50  
                                       cudaLaunchKernel         0.88%      27.157ms         0.88%      27.157ms       4.731us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5740  
                                           train_iter_2         0.74%      22.916ms         9.69%     299.367ms     299.367ms       0.000us         0.00%     101.219ms     101.219ms           0 B      -5.04 MB           0 B    -125.78 GB             1  
