-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.74%      22.890ms         1.65%      50.912ms      29.429us     588.284ms        23.64%     588.592ms     340.227us           0 B           0 B           0 B     -20.00 MB          1730  
                                               aten::to         0.04%       1.179ms         1.17%      36.231ms      27.870us       0.000us         0.00%     583.624ms     448.942us          40 B           0 B     645.04 GB           0 B          1300  
                                         aten::_to_copy         0.10%       3.034ms         1.13%      35.052ms      31.865us       0.000us         0.00%     583.624ms     530.567us          40 B           0 B     645.04 GB           0 B          1100  
autograd::engine::evaluate_function: LogSoftmaxBackw...         0.01%     341.662us         0.06%       1.762ms      22.029us       0.000us         0.00%     397.503ms       4.969ms           0 B           0 B    -320.00 GB    -640.00 GB            80  
                                    LogSoftmaxBackward0         0.01%     326.463us         0.05%       1.421ms      17.758us       0.000us         0.00%     397.503ms       4.969ms           0 B           0 B     320.00 GB           0 B            80  
                       aten::_log_softmax_backward_data         0.02%     699.682us         0.04%       1.094ms      13.677us     397.503ms        15.97%     397.503ms       4.969ms           0 B           0 B     320.00 GB     320.00 GB            80  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     397.503ms        15.97%     397.503ms       4.969ms           0 B           0 B           0 B           0 B            80  
                                               aten::mm         2.10%      64.716ms         2.41%      74.444ms      68.930us     392.301ms        15.76%     392.301ms     363.242us           0 B           0 B     323.17 GB     323.17 GB          1080  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     352.835ms        14.18%     352.835ms     801.898us           0 B           0 B           0 B           0 B           440  
                                           train_iter_6         0.00%       0.000us         0.00%       0.000us       0.000us     294.238ms        11.82%     294.238ms     294.238ms           0 B           0 B           0 B           0 B             1  
