-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cc_ssm_scan::(anonymous namespace)::ssm_scan_bw...         0.00%       0.000us         0.00%       0.000us       0.000us      71.973ms         1.59%      71.973ms     782.313us           0 B           0 B           0 B           0 B            92  
                                              aten::neg         0.02%       1.582ms         0.30%      21.675ms     117.801us      64.670ms         1.43%      87.699ms     476.626us           0 B           0 B      92.00 GB      92.00 GB           184  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.670ms         1.43%      64.670ms     351.466us           0 B           0 B           0 B           0 B           184  
                                              aten::sum         0.05%       3.563ms         1.11%      79.543ms     288.199us      59.781ms         1.32%      59.781ms     216.596us           0 B           0 B     276.00 KB     276.00 KB           276  
                       Runtime Triggered Module Loading         4.83%     345.412ms         4.83%     345.412ms       4.934ms      59.293ms         1.31%      59.293ms     847.037us           0 B           0 B           0 B           0 B            70  
                         chaoscontrol_ssm_scan::forward         0.09%       6.537ms         0.37%      26.444ms     284.340us      59.121ms         1.31%      89.332ms     960.555us           0 B           0 B      69.00 GB     512.00 MB            93  
void cc_ssm_scan::(anonymous namespace)::ssm_scan_fw...         0.00%       0.000us         0.00%       0.000us       0.000us      59.119ms         1.31%      59.119ms     642.603us           0 B           0 B           0 B           0 B            92  
                                            aten::where         0.01%     934.584us         0.29%      21.027ms     228.555us      57.079ms         1.26%      57.079ms     620.423us           0 B           0 B      46.00 GB           0 B            92  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      57.079ms         1.26%      57.079ms     620.423us           0 B           0 B           0 B           0 B            92  
                                 aten::sigmoid_backward         0.02%       1.442ms         0.65%      46.519ms     168.548us      48.070ms         1.06%      48.070ms     174.166us           0 B           0 B      46.00 GB      46.00 GB           276  
